timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621874600993,220,HTTP Request,200,OK,Users 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466666545&user=1964509753&conf=3,220,0,1
1621874602480,213,HTTP Request,200,OK,Users 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466666545&user=1964509753&conf=3,213,0,0
1621874603986,210,HTTP Request,200,OK,Users 1-1,text,true,,367,155,1,1,http://localhost:8080/?token=466666545&user=1964509753&conf=3,210,0,0
1621874604993,227,HTTP Request,200,OK,Users 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466666545&user=1964509753&conf=3,227,0,1
1621874605477,241,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466666545&user=1964509753&conf=3,241,0,0
1621874606503,231,HTTP Request,200,OK,Users 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466666545&user=1964509753&conf=3,231,0,0
1621874606976,212,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466666545&user=1964509753&conf=3,212,0,0
1621874607991,216,HTTP Request,200,OK,Users 1-2,text,true,,367,155,2,2,http://localhost:8080/?token=466666545&user=1964509753&conf=3,216,0,0
1621874608475,244,HTTP Request,200,OK,Users 1-1,text,true,,367,155,2,2,http://localhost:8080/?token=466666545&user=1964509753&conf=3,244,0,0
1621874608992,235,HTTP Request,200,OK,Users 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,235,0,1
1621874609492,312,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,312,0,0
1621874609975,223,HTTP Request,200,OK,Users 1-1,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,223,0,0
1621874610491,262,HTTP Request,200,OK,Users 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,262,0,0
1621874610992,219,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,219,0,0
1621874611476,217,HTTP Request,200,OK,Users 1-1,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,217,0,0
1621874611991,229,HTTP Request,200,OK,Users 1-3,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,229,0,0
1621874612492,223,HTTP Request,200,OK,Users 1-2,text,true,,367,155,3,3,http://localhost:8080/?token=466666545&user=1964509753&conf=3,223,0,0
1621874612976,227,HTTP Request,200,OK,Users 1-1,text,true,,367,155,4,4,http://localhost:8080/?token=466666545&user=1964509753&conf=3,227,0,0
1621874612992,232,HTTP Request,200,OK,Users 1-4,text,true,,367,155,4,4,http://localhost:8080/?token=466666545&user=1964509753&conf=3,232,0,0
